station_code,longitude,latitude,station_name
MGE,93.061557,25.171242,MIGRENDISA
NHLG,93.032239,25.1483324,NEW HAFLONG
JGLP,92.950867,25.111219,JATINGA LUMPUR
NHGJ,92.868056,25.112778,NEW HARANGAJAO
DTC,92.798715,25.090538,DITOKCHERRA
BXK,92.800717,25.069785,BANDARKHAL
DCA,92.749675,25.012661,DAMCHARA
CNE,92.716658,24.984962,CHANDRANATHPUR
BHZ,92.689054,24.9628178,BIHARA
HLX,92.620511,24.951767,HILARA
SQF,92.582849,24.913078,SUKRITIPUR
BPB,92.5563227,24.8651775,BADARPUR JN
KTX,92.627067,24.83436,KATAKHAL JN
SCA,92.671939,24.827278,SALCHAPRA
SCL,92.786795,24.830338,SILCHAR
GLPT,90.620659,26.126535,GOALPARA TOWN
RPH,87.782147,24.179797,RAMPUR HAT
SNT,87.681205,23.949741,SAINTHIA
BHP,87.698136,23.657804,BOLPUR S NIKTN
BWN,87.870281,23.249718,BARDDHAMAN JN
KIR,87.566409,25.548947,KATIHAR JN
NNA,87.09387,25.385261,NAUGACHIA
MNE,86.554446,25.509398,MANSI JN
BJU,85.988748,25.461768,BARAUNI JN
PPTA,85.068505,25.621426,PATLIPUTRA
DNR,85.044629,25.581921,DANAPUR
DDU,83.11925,25.278149,PT DEEN DAYAL UPADHYAY JN
SFG,81.789897,25.439879,SUBEDARGANJ
PRYJ,81.828816,25.446241,PRAYAGRAJ JN
CNB,80.350966,26.45424,KANPUR CENTRAL
NDLS,77.220004,28.642314,NEW DELHI
THB,86.934758,25.393571,THANA BIHPUR JN
KGG,86.465251,25.505891,KHAGARIA JN
BGS,86.134476,25.425296,BEGU SARAI
NBJU,85.988056,25.462222,NEW BARAUNI JN
MKA,85.913049,25.391885,MOKAMEH JN
BARH,85.709426,25.46165,BARH
BKP,85.529564,25.45611,BAKHTIYARPUR JN
PNC,85.230942,25.585856,PATNA SAHEB
PNBE,85.136824,25.60256,PATNA JN
ARA,84.662596,25.548889,ARA JN
DURE,84.143865,25.571984,DUMRAON
BXR,83.982184,25.562067,BUXAR
DLN,83.668324,25.419424,DILDARNAGAR JN
MZP,82.569869,25.13435,MIRZAPUR
BDL,82.5020212,25.1607717,VINDHYACHAL
PCOI,81.8672,25.3767,PRAYAGRAJ CHHEOKI
STA,80.827717,24.568619,SATNA
KTE,80.400543,23.833385,KATNI
JBP,79.950919,23.164636,JABALPUR
PPI,78.354538,22.753941,PIPARIYA
ET,77.767128,22.608258,ITARSI JN
HD,77.10084,22.338414,HARDA
KNW,76.353227,21.823596,KHANDWA
BAU,76.1986787,21.3343976,BURHANPUR
BSL,75.7886717,21.0472812,BHUSAVAL JN
MMR,74.438305,20.249887,MANMAD JN
NK,73.841897,19.947627,NASIK ROAD
KYN,73.12974,19.234716,KALYAN JN
TNA,72.975417,19.185757,THANE
LTT,72.891739,19.07032,LOKMANYATILAK T
DLI,77.228356,28.661816,DELHI
ALJN,78.074559,27.889584,ALIGARH JN
TDL,78.233285,27.207747,TUNDLA JN
SKB,78.574955,27.085686,SHIKOHABAD JN
KIUL,86.106198,25.171504,KIUL JN
AHA,86.3230724591,25.2159864584,ABHAIPUR
JMP,86.492285,25.313906,JAMALPUR JN
SGG,86.736175,25.24085,SULTANGANJ
BGP,86.9767918,25.2419093,BHAGALPUR
CLG,87.2337518945,25.2621879424,KAHALGAON
PPT,87.4218244568,25.2903753934,PIRPAINTI
SBG,87.634577,25.241392,SAHIBGANJ JN
BHW,87.774493,24.857748,BARHARWA JN
KDKN,91.63681,26.374067,KENDUKANA
SRI,87.8375132959,25.6156715055,SALMARI
FTP,80.801869,25.917489,FATEHPUR
ETW,79.021502,26.78597,ETAWAH
GZB,77.431099,28.649702,GHAZIABAD
ANVT,77.31521255,28.6505035654,ANAND VIHAR TRM
LXA,94.8439823962,27.0046370183,LAKSWA
DGU,91.977861,26.173306,DIGARU
DLK,87.838877,25.873416,DALKOLHA
AZR,87.8523278357,25.5555556424,AZAMNAGAR ROAD
LAV,87.7451403217,25.4396467554,LABHA
NNR,86.859388,25.398348,NARAYANPUR
DSS,85.8414652,25.6647486,DALSINGH SARAI
SPJ,85.78736,25.858304,SAMASTIPUR JN
DOL,85.562495,25.976952,DHOLI
MFP,85.378006,26.122311,MUZAFFARPUR JN
HJP,85.2155,25.702909,HAJIPUR JN
SEE,85.166851,25.696849,SONPUR JN
CPR,84.725004,25.78832,CHHAPRA
EKMA,84.53637,25.967099,EKMA
SV,84.359267,26.210724,SIWAN JN
MW,84.151979,26.240309,MAIRWA
BHTR,84.0331014,26.3104766,BHATPAR RANI
BTT,83.934035,26.381257,BHATNI JN
DEOS,83.7819590961,26.5076811676,DEORIA SADAR
